x position        y position        field value
    0.88        0.64        9.71475
    0.89        0.64        9.73322
    0.9        0.64        9.75239
    0.91        0.64        9.77227
    0.92        0.64        9.79288
    0.93        0.64        9.81423
    0.94        0.64        9.83635
    0.95        0.64        9.85924
    0.96        0.64        9.88293
    0.97        0.64        9.90743
    0.98        0.64        9.93277
    0.99        0.64        9.95896
    1        0.64        9.98602
    0.51        0.65        9.41326
    0.52        0.65        9.41387
    0.53        0.65        9.41489
    0.54        0.65        9.41632
    0.55        0.65        9.41815
    0.56        0.65        9.42041
    0.57        0.65        9.42307
    0.58        0.65        9.42615
    0.59        0.65        9.42965
    0.6        0.65        9.43357
    0.61        0.65        9.43792
    0.62        0.65        9.44269
    0.63        0.65        9.4479
    0.64        0.65        9.45332
    0.65        0.65        9.45895
    0.66        0.65        9.4648
    0.67        0.65        9.47089
    0.68        0.65        9.47743
    0.69        0.65        9.48443
    0.7        0.65        9.4919
    0.71        0.65        9.49986
    0.72        0.65        9.5083
    0.73        0.65        9.51723
    0.74        0.65        9.52667
    0.75        0.65        9.53661
    0.76        0.65        9.54708
    0.77        0.65        9.55808
    0.78        0.65        9.56962
    0.79        0.65        9.58171
    0.8        0.65        9.59436
    0.81        0.65        9.60759
    0.82        0.65        9.6214
    0.83        0.65        9.6358
    0.84        0.65        9.65082
    0.85        0.65        9.66646
    0.86        0.65        9.68274
    0.87        0.65        9.69967
    0.88        0.65        9.71727
    0.89        0.65        9.73554
    0.9        0.65        9.75451
    0.91        0.65        9.77419
    0.92        0.65        9.7946
    0.93        0.65        9.81575
    0.94        0.65        9.83767
    0.95        0.65        9.86036
    0.96        0.65        9.88385
    0.97        0.65        9.90815
    0.98        0.65        9.93328
    0.99        0.65        9.95927
    1        0.65        9.98613
    0.51        0.66        9.4196
    0.52        0.66        9.42019
    0.53        0.66        9.42117
    0.54        0.66        9.42257
    0.55        0.66        9.42437
    0.56        0.66        9.42657
    0.57        0.66        9.42918
    0.58        0.66        9.43221
    0.59        0.66        9.43564
    0.6        0.66        9.4395
    0.61        0.66        9.44377
    0.62        0.66        9.44846
    0.63        0.66        9.45358
    0.64        0.66        9.45913
    0.65        0.66        9.4649
    0.66        0.66        9.47087
    0.67        0.66        9.47707
    0.68        0.66        9.4835
